plant_code,plant_name,latitude,longitude
2,Bankhead Dam,33.458665,-87.356823
3,Barry,31.0069,-88.0103
4,Walter Bouldin Dam,32.583889,-86.283056
7,Gadsden,34.0128,-85.9708
8,Gorgas,33.644344,-87.196486
9,Copper,31.7569,-106.375
10,Greene County,32.6017,-87.7811
11,H Neely Henry Dam,33.7845,-86.0524
12,Holt Dam,33.2553,-87.4495
13,Jordan Dam,32.6189,-86.2548
14,Logan Martin Dam,33.425878,-86.337547
15,Lay Dam,32.9633,-86.5187
16,Martin Dam,32.680394,-85.911442
17,Mitchell Dam,32.806025,-86.444892
18,Lewis Smith Dam,33.9406,-87.1077
19,Thurlow Dam,32.535436,-85.887614
20,Weiss Dam,34.172142,-85.753806
21,Yates Dam,32.5743,-85.8901
26,E C Gaston,33.244211,-86.458056
30,Madelia,44.0501,-94.4178
34,Rollins,39.134259,-120.953341
38,Millers Ferry,32.100881,-87.399767
46,Browns Ferry,34.7042,-87.1189
47,Colbert,34.7439,-87.8486
48,Guntersville,34.421272,-86.393931
49,Wheeler Dam,34.8069,-87.3819
50,Widows Creek,34.883022,-85.755253
51,Dolet Hills,32.030556,-93.569167
53,Gantt,31.4033,-86.479469
54,J K Smith,37.8833,-84.1017
55,Point A,31.361146,-86.518307
56,Charles R Lowman,31.488019,-87.910747
59,Platte,40.854765,-98.348222
60,Whelan Energy Center,40.580872,-98.312437
62,Annex Creek,58.3176,-134.101
63,Gold Creek,58.3107,-134.4174
64,Lemon Creek,58.3536,-134.4953
65,Salmon Creek 1,58.3269,-134.4631
66,Skagway,59.4545,-135.3131
69,Haines,59.235931,-135.446228
70,Swan Lake,55.613892,-131.35417
71,Terror Lake,57.6861,-152.895
72,Venice Hydro,34.01135,-118.4168
75,Anchorage 1,61.2221,-149.8661
77,Eklutna Hydro Project,61.475211,-149.15009
78,Snettisham,58.1415,-133.737
79,Aurora Energy LLC Chena,64.847743,-147.735063
84,Ketchikan,55.344641,-131.633425
85,S W Bailey,55.357397,-131.69696
87,Escalante,35.4159,-108.082
88,Ashokan,41.949,-74.2063
90,Snake River,64.505331,-165.429814
91,Petersburg,56.81104,-132.957091
92,Seward (AK),60.130922,-149.43501
93,Riley#03a,57.0516,-135.2297
95,Wrangell,56.460976,-132.379439
96,Beluga,61.1861,-151.0356
99,Frederickson,47.079722,-122.365
100,South Consolidated,33.466477,-111.781064
104,J S Eastwood,37.147926,-119.2567
108,Holcomb,37.9308,-100.9725
109,Dillingham,59.6708,-157.89
112,Childs,34.351111,-111.700556
113,Cholla,34.9394,-110.3033
114,Douglas,31.364122,-109.5538
115,Irving,34.402222,-111.617222
116,Ocotillo,33.4225,-111.9122
117,West Phoenix,33.4417,-112.1583
118,Saguaro,32.5517,-111.3
120,Yucca,32.7214,-114.7106
124,Demoss Petrie,32.252273,-110.992148
126,H Wilson Sundt Generating Station,32.16,-110.9047
127,Oklaunion,34.0825,-99.1753
130,Cross,33.371506,-80.113235
136,Seminole (FL),29.733056,-81.632778
141,Agua Fria,33.5561,-112.2153
143,Crosscut,33.439375,-111.946052
145,Horse Mesa,33.5907,-111.344
147,Kyrene,33.3556,-111.9353
148,Mormon Flat,33.5536,-111.4431
149,Roosevelt,33.671104,-111.161786
150,Stewart Mountain,33.5661,-111.536
151,McClure,37.62936,-120.93139
152,Davis Dam,35.197044,-114.570669
153,Glen Canyon Dam,36.936614,-111.483872
154,Hoover Dam (NV),36.01551,-114.738006
159,Lake Creek Dam,40.493631,-111.312506
160,Apache Station,32.0603,-109.8931
161,Turlock Lake,37.611461,-120.594678
162,Hickman,37.621536,-120.746247
164,Big Pine,24.579167,-81.685
165,GREC,36.190278,-95.2894
166,Carpenter,34.4425,-93.0262
167,Cecil Lynch,34.7535,-92.1987
168,Hamilton Moses,34.9806,-90.8722
169,Harvey Couch,33.3592,-93.4649
170,Lake Catherine,34.4341,-92.9049
171,Mabelvale,34.635997,-92.409602
172,Osceola (AR),35.6893,-89.994
173,Robert E Ritchie,34.4629,-90.5987
174,Remmel,34.4272,-92.8941
180,Volta 2,40.45193,-121.86215
182,Beaver Dam,36.421507,-93.847373
187,Degray,34.211913,-93.110963
188,Greers Ferry Lake,35.5207,-91.9953
192,Paragould,36.060556,-90.521389
193,Municipal Light,36.3858,-90.1867
195,Narrows (AR),34.148427,-93.715168
196,Norfork,36.2491,-92.2401
197,Blakely Mountain,34.570984,-93.194425
198,Bull Shoals,36.3635,-92.5763
199,Dardanelle,35.2503,-93.1686
201,Thomas Fitzhugh,35.462382,-93.804926
202,Carl Bailey,35.260102,-91.363426
203,McClellan (AR),33.5648,-92.7917
204,Clinton Power Station,40.1719,-88.8339
207,St Johns River Power Park,30.4308,-81.5508
210,Wolf Creek Generating Station,38.23926,-95.68978
214,Alta Powerhouse,39.215979,-120.80355
215,Angels,38.071944,-120.539444
217,Balch 1,36.909137,-119.087712
218,Balch 2,36.908907,-119.087556
219,Belden,40.007445,-121.249438
220,Bucks Creek,39.91062,-121.327692
221,Butt Valley,40.175656,-121.190663
222,Caribou 1,40.085476,-121.148241
223,Caribou 2,40.085997,-121.149373
224,Centerville PH,39.788877,-121.657383
225,Chili Bar,38.771764,-120.813239
226,Coal Canyon,39.605043,-121.600525
227,Coleman PH,40.404645,-122.121904
228,Contra Costa,38.0192,-121.7642
229,Cow Creek,40.570817,-122.02093
231,Cresta,39.825907,-121.409687
232,De Sabla,39.869265,-121.631819
233,Deer Creek PH,39.29807,-120.8443
235,Drum 1,39.256873,-120.767437
236,Drum 2,39.257388,-120.767046
237,Dutch Flat,39.216985,-120.835587
238,El Dorado,38.793574,-120.619152
239,Electra,38.330985,-120.669901
240,Haas,36.927424,-119.02025
241,Halsey,38.956985,-121.041932
242,Hamilton Branch,40.268712,-121.089479
243,Hat Creek 1,40.929297,-121.544462
244,Hat Creek 2,40.960675,-121.548657
246,Humboldt Bay,40.7415,-124.2103
247,Hunters Point,37.733611,-122.389722
248,Inskip,40.400988,-121.965502
249,James B Black,40.992295,-121.975182
250,Kerckhoff,37.092486,-119.552826
253,Kilarc,40.677827,-121.873253
254,Kings River PH,36.888166,-119.158777
255,Lime Saddle,39.698755,-121.57096
258,Merced Falls,37.52301,-120.329905
260,Dynegy Moss Landing Power Plant,36.804837,-121.782241
261,Murphys,38.147093,-120.446396
262,Narrows PH,39.2364,-121.271741
264,Phoenix,38.032103,-120.326537
265,Pit 1,40.99084,-121.498243
266,Pit 3,40.997448,-121.748139
267,Pit 4,40.986361,-121.84944
268,Pit 5,40.986197,-121.977594
269,Pit 6,40.922568,-121.992906
270,Pit 7,40.847462,-121.990798
271,Pittsburg Power,38.039168,-121.894469
272,Poe,39.722892,-121.469814
274,Potter Valley,39.361786,-123.127934
275,Rock Creek,39.90521,-121.345226
276,San Joaquin 2,37.203233,-119.497508
277,San Joaquin 3,37.253718,-119.519352
279,Salt Springs,38.497914,-120.21811
280,South,40.395396,-121.879186
281,Spaulding 1,39.324613,-120.644807
282,Spaulding 2,39.324592,-120.645375
283,Spaulding 3,39.337679,-120.635467
284,Spring Gap,38.18653,-120.11168
285,Stanislaus,38.139048,-120.370325
286,Geysers Unit 5-20,38.777,-122.745
287,Tiger Creek,38.449291,-120.492645
289,Tule River,36.163076,-118.707104
290,Volta 1,40.459111,-121.86708
291,West Point PH,38.420898,-120.549572
292,Wise,38.889862,-121.098525
293,A G Wishon,37.15105,-119.504724
294,Copco 1,41.978914,-122.335317
295,Copco 2,41.975716,-122.358127
296,Fall Creek,41.985605,-122.360455
297,Iron Gate,41.932981,-122.43678
298,Limestone,31.4219,-96.2525
299,Blundell,38.4889,-112.8533
300,Division,32.681667,-117.120277
301,El Cajon,32.7958,-116.9722
302,Encina,33.1361,-117.3364
303,Kearny,32.834,-117.1338
305,Miramar,32.8761,-117.1664
306,Naval Station,32.681667,-117.120277
307,North Island,32.705,-117.190277
