plant_code,plant_name,latitude,longitude,city,state
2,Bankhead Dam,33.458665,-87.356823,Northport,AL
3,Barry,31.0069,-88.0103,Bucks,AL
4,Walter Bouldin Dam,32.583889,-86.283056,Wetumpka,AL
7,Gadsden,34.0128,-85.9708,Gadsden,AL
8,Gorgas,33.644344,-87.196486,Parrish,AL
9,Copper,31.7569,-106.375,El Paso,TX
10,Greene County,32.6017,-87.7811,Demopolis,AL
11,H Neely Henry Dam,33.7845,-86.0524,Ohatchee,AL
12,Holt Dam,33.2553,-87.4495,Tuscaloosa,AL
13,Jordan Dam,32.6189,-86.2548,Wetumpka,AL
14,Logan Martin Dam,33.425878,-86.337547,Vincent,AL
15,Lay Dam,32.9633,-86.5187,Clanton,AL
16,Martin Dam,32.680394,-85.911442,Dadeville,AL
17,Mitchell Dam,32.806025,-86.444892,Verbena,AL
18,Lewis Smith Dam,33.9406,-87.1077,Jasper,AL
19,Thurlow Dam,32.535436,-85.887614,Tallassee,AL
20,Weiss Dam,34.172142,-85.753806,Leesburg,AL
21,Yates Dam,32.5743,-85.8901,Tallassee,AL
26,E C Gaston,33.244211,-86.458056,Wilsonville,AL
30,Madelia,44.0501,-94.4178,City of Madelia,MN
34,Rollins,39.134259,-120.953341,Colfax,CA
38,Millers Ferry,32.100881,-87.399767,Camden,AL
46,Browns Ferry,34.7042,-87.1189,Decatur,AL
47,Colbert,34.7439,-87.8486,Tuscumbia,AL
48,Guntersville,34.421272,-86.393931,Guntersville,AL
49,Wheeler Dam,34.8069,-87.3819,Town Creek,AL
50,Widows Creek,34.883022,-85.755253,Stevenson,AL
51,Dolet Hills,32.030556,-93.569167,Mansfield,LA
53,Gantt,31.4033,-86.479469,Andalusia,AL
54,J K Smith,37.8833,-84.1017,Winchester,KY
55,Point A,31.361146,-86.518307,Andalusia,AL
56,Charles R Lowman,31.488019,-87.910747,Leroy,AL
59,Platte,40.854765,-98.348222,Grand Island,NE
60,Whelan Energy Center,40.580872,-98.312437,Hastings,NE
62,Annex Creek,58.3176,-134.101,Juneau,AK
63,Gold Creek,58.3107,-134.4174,Juneau,AK
64,Lemon Creek,58.3536,-134.4953,Juneau,AK
65,Salmon Creek 1,58.3269,-134.4631,Juneau,AK
66,Skagway,59.4545,-135.3131,Skagway,AK
69,Haines,59.235931,-135.446228,Haines,AK
70,Swan Lake,55.613892,-131.35417,Ketchikan,AK
71,Terror Lake,57.6861,-152.895,Kodiak,AK
72,Venice Hydro,34.01135,-118.4168,Culver City,CA
75,Anchorage 1,61.2221,-149.8661,Anchorage,AK
77,Eklutna Hydro Project,61.475211,-149.15009,Palmer,AK
78,Snettisham,58.1415,-133.737,Juneau,AK
79,Aurora Energy LLC Chena,64.847743,-147.735063,Fairbanks,AK
84,Ketchikan,55.344641,-131.633425,Ketchikan,AK
85,S W Bailey,55.357397,-131.69696,Ketchikan,AK
87,Escalante,35.4159,-108.082,Prewitt,NM
88,Ashokan,41.949,-74.2063,Kingston,NY
90,Snake River,64.505331,-165.429814,Nome,AK
91,Petersburg,56.81104,-132.957091,Petersburg,AK
92,Seward (AK),60.130922,-149.43501,Seward,AK
93,Riley#03a,57.0516,-135.2297,Sitka,AK
95,Wrangell,56.460976,-132.379439,Wrangell,AK
96,Beluga,61.1861,-151.0356,Beluga,AK
99,Frederickson,47.079722,-122.365,Tacoma,WA
100,South Consolidated,33.466477,-111.781064,Phoenix,AZ
104,J S Eastwood,37.147926,-119.2567,Shaver Lake,CA
108,Holcomb,37.9308,-100.9725,Holcomb,KS
109,Dillingham,59.6708,-157.89,Dillingham,AK
