plant_code,plant_name,state,generator_id,nameplate_capacity,status,operating_month,operating_year,retirement_month,retirement_year,
46,Browns Ferry,AL,1,1152,OP,8,1974, , ,
46,Browns Ferry,AL,2,1152,OP,3,1975, , ,
46,Browns Ferry,AL,3,1190,OP,3,1977, , ,
204,Clinton Power Station,IL,1,1138.3,OP,11,1987,6,2017,
210,Wolf Creek Generating Station,KS,1,1267.7,OP,9,1985, , ,
371,Columbia Generating Station,WA,2,1200,OP,12,1984, , ,
566,Millstone,CT,2,909.9,OP,12,1975, , ,
566,Millstone,CT,3,1253,OP,4,1986, , ,
621,Turkey Point,FL,3,877.2,OP,12,1972, , ,
621,Turkey Point,FL,4,760,OP,9,1973, , ,
649,Vogtle,GA,1,1160,OP,5,1987, , ,
649,Vogtle,GA,2,1160,OP,5,1989, , ,
869,Dresden Generating Station,IL,2,1009.3,OP,8,1970, , ,
869,Dresden Generating Station,IL,3,1009.3,OP,10,1971, , ,
880,Quad Cities Generating Station,IL,1,1009.3,OP,12,1972,6,2018,
880,Quad Cities Generating Station,IL,2,1009.3,OP,12,1972,6,2018,
1060,Duane Arnold Energy Center,IA,1,679.5,OP,2,1975, , ,
1590,Pilgrim Nuclear Power Station,MA,1,670,OP,12,1972,6,2019,
1715,Palisades,MI,1,811.8,OP,3,1972, , ,
1729,Fermi,MI,2,1217,OP,1,1988, , ,
1922,Monticello Nuclear Facility,MN,1,685,OP,6,1971, , ,
1925,Prairie Island,MN,1,593.1,OP,2,1974, , ,
1925,Prairie Island,MN,2,593.1,OP,10,1974, , ,
2289,Fort Calhoun,NE,1,502,OP,9,1973,11,2016,
2388,Oyster Creek,NJ,1,550,OP,12,1969,12,2019,
2410,PSEG Salem Generating Station,NJ,1,1170,OP,6,1977, , ,
2410,PSEG Salem Generating Station,NJ,2,1170,OP,10,1981, , ,
2497,Indian Point 2,NY,2,1299,OP,8,1973, , ,
2589,Nine Mile Point Nuclear Station,NY,1,641.8,OP,12,1969, , ,
2589,Nine Mile Point Nuclear Station,NY,2,1259.3,OP,7,1987, , ,
3166,Peach Bottom,PA,2,1244.8,OP,7,1974, , ,
3166,Peach Bottom,PA,3,1377,OP,12,1974, , ,
