"plant_code","plant_capacity","operating_year","retirement_year","plant_name","latitude","longitude","city","state"
46,3494,1974,NA,"Browns Ferry",34.7042,-87.1189,"Decatur","AL"
204,1138.3,1987,2017,"Clinton Power Station",40.1719,-88.8339,"Clinton","IL"
210,1267.7,1985,NA,"Wolf Creek Generating Station",38.23926,-95.68978,"Burlington","KS"
360,2254,1983,2013,"San Onofre Nuclear Generating Station",33.368794,-117.554916,"San Clemente","CA"
371,1200,1984,NA,"Columbia Generating Station",46.4711,-119.3339,"Richland","WA"
566,2162.9,1975,NA,"Millstone",41.3107,-72.1677,"Waterford","CT"
621,1637.2,1972,NA,"Turkey Point",25.4356,-80.3308,"Homestead","FL"
628,890.4,1977,2013,"Crystal River",28.9656,-82.6977,"Crystal River","FL"
649,2320,1987,NA,"Vogtle",33.1427,-81.7625,"Waynesboro","GA"
869,2018.6,1970,NA,"Dresden Generating Station",41.39,-88.27,"Morris","IL"
880,2018.6,1972,2018,"Quad Cities Generating Station",41.726111,-90.310278,"Cordova","IL"
1060,679.5,1975,NA,"Duane Arnold Energy Center",42.1011,-91.7781,"Palo","IA"
1590,670,1972,2019,"Pilgrim Nuclear Power Station",41.9438,-70.578,"Plymouth","MA"
1715,811.8,1972,NA,"Palisades",42.323,-86.3146,"Covert","MI"
1729,1217,1988,NA,"Fermi",41.9631,-83.2581,"Fenchtown Twp","MI"
1922,685,1971,NA,"Monticello Nuclear Facility",45.3338,-93.8493,"Monticello","MN"
1925,1186.2,1974,NA,"Prairie Island",44.622,-92.6333,"Welch","MN"
2289,502,1973,2016,"Fort Calhoun",41.520522,-96.077511,"Blair","NE"
2388,550,1969,2019,"Oyster Creek",39.8143,-74.2062,"Forked River","NJ"
2410,2340,1977,NA,"PSEG Salem Generating Station",39.4625,-75.5358,"Hancocks Bridge","NJ"
2497,1299,1973,NA,"Indian Point 2",41.270556,-73.9527,"Buchanan","NY"
2589,1901.1,1969,NA,"Nine Mile Point Nuclear Station",43.5211,-76.41,"Lycoming","NY"
3166,2621.8,1974,NA,"Peach Bottom",39.758936,-76.268742,"Delta","PA"
3251,768.6,1971,NA,"H B Robinson",34.4017,-80.1589,"Hartsville","SC"
3265,2666.7,1973,NA,"Oconee",34.7939,-82.8986,"Seneca","SC"
3806,1695,1972,NA,"Surry",37.1661,-76.6986,"Surry","VA"
4046,1286,1970,NA,"Point Beach Nuclear Plant",44.2806,-87.5369,"Two Rivers","WI"
4270,1199.8,1985,NA,"Waterford 3",29.995267,-90.471581,"Killona","LA"
6000,2285.3,1975,NA,"Donald C Cook",41.975604,-86.565206,"Bridgman","MI"
6001,1776.4,1977,NA,"Joseph M Farley",31.2231,-85.1116,"Columbia","AL"
6008,4209.6,1986,NA,"Palo Verde",33.3881,-112.8617,"Wintersburg","AZ"
6011,1828.7,1975,NA,"Calvert Cliffs Nuclear Power Plant",38.4344,-76.4417,"Lusby","MD"
6014,2003.2,1975,NA,"Brunswick Nuclear",33.9597,-78.0114,"Southport","NC"
6015,950.9,1987,NA,"Harris",35.6334,-78.9556,"New Hill","NC"
6020,1311.6,1987,NA,"Perry",41.8006,-81.1439,"Perry","OH"
6022,2449.8,1988,NA,"Braidwood Generation Station",41.2435,-88.2286,"Braceville","IL"
6023,2449.8,1985,NA,"Byron Generating Station",42.0742,-89.2819,"Byron","IL"
6026,2340,1984,NA,"LaSalle Generating Station",41.245498,-88.669066,"Marseilles","IL"
6036,2410.2,1985,NA,"Catawba",35.0514,-81.0694,"York","SC"
6038,2440.6,1981,NA,"McGuire",35.4331,-80.9486,"Huntersville","NC"
6040,1846.8,1976,NA,"Beaver Valley",40.6219,-80.4336,"Shippingport","PA"
6045,2160,1976,NA,"St Lucie",27.348611,-80.246389,"Jensen Beach","FL"
6051,1721.8,1975,NA,"Edwin I Hatch",31.9342,-82.3447,"Baxley","GA"
6072,1440,1985,NA,"Grand Gulf",32.0081,-91.0478,"Port Gibson","MS"
6099,2323,1985,NA,"Diablo Canyon",35.211536,-120.855542,"Avila Beach","CA"
6103,2596,1983,NA,"TalenEnergy Susquehanna",41.0919,-76.1462,"Berwick","PA"
6105,2277,1986,NA,"Limerick",40.224303,-75.58744,"Sanatoga","PA"
6110,882,1976,2017,"James A Fitzpatrick",43.52139,-76.408394,"Lycoming","NY"
6115,1242,1990,NA,"Seabrook",42.899167,-70.848889,"Seabrook","NH"
6118,1290.7,1986,NA,"PSEG Hope Creek Generating Station",39.4666,-75.5377,"Hancocks Bridge","NJ"
6122,614,1970,NA,"R E Ginna Nuclear Power Plant",43.2777,-77.3099,"Ontario","NY"
6127,1029.6,1984,NA,"V C Summer",34.2983,-81.3153,"Jenkinsville","SC"
6145,2430,1990,NA,"Comanche Peak",32.298365,-97.785515,"Glen Rose","TX"
6149,925.2,1977,NA,"Davis Besse",41.5967,-83.0861,"Oak Harbor","OH"
6152,2441,1981,NA,"Sequoyah",35.2267,-85.0917,"Soddy Daisy","TN"
6153,1235.8,1984,NA,"Callaway",38.758919,-91.778841,"Fulton","MO"
6168,1959.4,1978,NA,"North Anna",38.06,-77.7897,"Mineral","VA"
6251,2708.6,1988,NA,"South Texas Project",28.795,-96.0481,"Wadsworth","TX"
6462,1035.9,1986,NA,"River Bend",30.757,-91.3327,"St. Francisville","LA"
7722,1269.9,1996,NA,"Watts Bar Nuclear Plant",35.6021,-84.7895,"Spring City","TN"
