plant_code,year,capacity,plant_name,city,state,latitude,longitude
46,1974,1152,Browns Ferry,Decatur,AL,34.7042,-87.118899999999996
46,1975,1152,Browns Ferry,Decatur,AL,34.7042,-87.118899999999996
46,1977,1190,Browns Ferry,Decatur,AL,34.7042,-87.118899999999996
204,1987,1138.3,Clinton Power Station,Clinton,IL,40.171900000000001,-88.8339
210,1985,1267.7,Wolf Creek Generating Station,Burlington,KS,38.239260000000002,-95.689779999999999
360,2013,-2254,San Onofre Nuclear Generating Station,San Clemente,CA,33.368794000000001,-117.55491600000001
360,1983,1127,San Onofre Nuclear Generating Station,San Clemente,CA,33.368794000000001,-117.55491600000001
360,1984,1127,San Onofre Nuclear Generating Station,San Clemente,CA,33.368794000000001,-117.55491600000001
371,1984,1200,Columbia Generating Station,Richland,WA,46.4711,-119.3339
566,1975,909.9,Millstone,Waterford,CT,41.310699999999997,-72.167699999999996
566,1986,1253,Millstone,Waterford,CT,41.310699999999997,-72.167699999999996
621,1972,877.2,Turkey Point,Homestead,FL,25.435600000000001,-80.330799999999996
621,1973,760,Turkey Point,Homestead,FL,25.435600000000001,-80.330799999999996
628,2013,-890.4,Crystal River,Crystal River,FL,28.965599999999998,-82.697699999999998
628,1977,890.4,Crystal River,Crystal River,FL,28.965599999999998,-82.697699999999998
649,1987,1160,Vogtle,Waynesboro,GA,33.142699999999998,-81.762500000000003
649,1989,1160,Vogtle,Waynesboro,GA,33.142699999999998,-81.762500000000003
649,2019,1100,Vogtle,Waynesboro,GA,33.142699999999998,-81.762500000000003
649,2020,1100,Vogtle,Waynesboro,GA,33.142699999999998,-81.762500000000003
869,1970,1009.3,Dresden Generating Station,Morris,IL,41.39,-88.27
869,1971,1009.3,Dresden Generating Station,Morris,IL,41.39,-88.27
880,1972,2018.6,Quad Cities Generating Station,Cordova,IL,41.726111000000003,-90.310277999999997
1060,1975,679.5,Duane Arnold Energy Center,Palo,IA,42.101100000000002,-91.778099999999995
1729,1988,1217,Fermi,Fenchtown Twp,MI,41.963099999999997,-83.258099999999999
1922,1971,685,Monticello Nuclear Facility,Monticello,MN,45.333799999999997,-93.849299999999999
1925,1974,1186.2,Prairie Island,Welch,MN,44.622,-92.633300000000006
2289,2016,-502,Fort Calhoun,Blair,NE,41.520522,-96.077511000000001
2289,1973,502,Fort Calhoun,Blair,NE,41.520522,-96.077511000000001
2410,1977,1170,PSEG Salem Generating Station,Hancocks Bridge,NJ,39.462499999999999,-75.535799999999995
2410,1981,1170,PSEG Salem Generating Station,Hancocks Bridge,NJ,39.462499999999999,-75.535799999999995
2497,1973,1299,Indian Point 2,Buchanan,NY,41.270555999999999,-73.952699999999993
2589,1969,641.8,Nine Mile Point Nuclear Station,Lycoming,NY,43.521099999999997,-76.41
