year,plant_code,plant_name,capacity,cum_capacity,city,state,latitude,longitude
1976,6110,James A Fitzpatrick,882,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1977,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1978,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1979,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1980,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1981,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1982,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1983,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1984,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1985,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1986,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1987,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1988,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1989,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1990,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1991,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1992,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1993,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1994,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1995,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1996,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1997,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1998,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
1999,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
2000,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
2001,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
2002,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
2003,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
2004,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
2005,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
2006,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
2007,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
2008,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
2009,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
2010,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
2011,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
2012,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
2013,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
2014,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
2015,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
2016,6110,James A Fitzpatrick,0,882,Lycoming,NY,43.521389999999997,-76.408394000000001
2017,6110,James A Fitzpatrick,-882,0,Lycoming,NY,43.521389999999997,-76.408394000000001
