,year,plant_code,plant_name,capacity,op_capacity,net_capacity,city,state,latitude,longitude
0,1968,46,Browns Ferry,0.0,0.0,0.0,Decatur,AL,34.7042,-87.1189
1,1969,46,Browns Ferry,0.0,0.0,0.0,Decatur,AL,34.7042,-87.1189
2,1970,46,Browns Ferry,0.0,0.0,0.0,Decatur,AL,34.7042,-87.1189
3,1971,46,Browns Ferry,0.0,0.0,0.0,Decatur,AL,34.7042,-87.1189
4,1972,46,Browns Ferry,0.0,0.0,0.0,Decatur,AL,34.7042,-87.1189
5,1973,46,Browns Ferry,0.0,0.0,0.0,Decatur,AL,34.7042,-87.1189
6,1974,46,Browns Ferry,1152.0,1152.0,1152.0,Decatur,AL,34.7042,-87.1189
7,1975,46,Browns Ferry,1152.0,2304.0,2304.0,Decatur,AL,34.7042,-87.1189
8,1976,46,Browns Ferry,0.0,2304.0,2304.0,Decatur,AL,34.7042,-87.1189
9,1977,46,Browns Ferry,1190.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
10,1978,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
11,1979,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
12,1980,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
13,1981,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
14,1982,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
15,1983,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
16,1984,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
17,1985,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
18,1986,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
19,1987,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
20,1988,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
21,1989,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
22,1990,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
23,1991,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
24,1992,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
25,1993,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
26,1994,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
27,1995,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
28,1996,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
29,1997,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
30,1998,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
31,1999,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
32,2000,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
33,2001,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
34,2002,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
35,2003,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
36,2004,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
37,2005,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
38,2006,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
39,2007,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
40,2008,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
41,2009,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
42,2010,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
43,2011,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
44,2012,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
45,2013,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
46,2014,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
47,2015,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
48,2016,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
49,2017,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
50,2018,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
51,2019,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
52,2020,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
53,2021,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
54,2022,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
55,2023,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
56,2024,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
57,2025,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
58,2026,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
59,2027,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
60,2028,46,Browns Ferry,0.0,3494.0,3494.0,Decatur,AL,34.7042,-87.1189
61,1968,204,Clinton Power Station,0.0,0.0,0.0,Clinton,IL,40.1719,-88.8339
